"","TARGET","method","avg","median","SE"
"1","ignorant","entity type",-0.388264957983193,-0.45258,0.0130601340859751
"2","ignorant","preposition (of/that)",-0.287004578630549,-0.40585,0.00676673016849417
"3","unaware","entity type",-0.156178626609442,-0.23905,0.0230826555748117
"4","unaware","preposition (of/that)",-0.125131596741344,-0.20741,0.00821685687189913
